"","GNCD_110","GNCD_119","GNCD_107","GNCD_115","DC1DC2Bo_D28_M17","GNCD_108","DefCom2_155","GNCD_120","GNCD_123","GNCD_129","GNCD_111","GNCD_113","GNCD_117","GNCD_121","GNCD_98","GNCD_99","GNCD_106","D28_24","GNCD_101","DC1DC2Bo_D28_M2","GNCD_127","GNCD_103","GNCD_100","DefCom2_142","DefCom2_136","GNCD_105","GNCD_102","DefCom2_154","GNCD_112","DefCom2_130","DefCom2_156","DefCom2_122","DefCom2_132","DC1DC2Bo_D28_M18","DefCom2_139","DefCom2_123","DC1DC2Bo_D28_M3","DefCom2_127","DC1DC2Bo_M28_M13","DefCom2_121","DefCom2_134","DefCom2_144","GNCD_122","DefCom2_126","GNCD_114","DefCom2_162","DefCom2_128","DefCom2_140","GNCD_118","DefCom2_138","DefCom2_135","DefCom2_159","GNCD_128","GNCD_109","DefCom2_137","DC1DC2Bo_D28_M16","DefCom2_133","DefCom2_125","DefCom2_158","DefCom2_143","DC1DC2Bo_D28_M14","DefCom2_153","DC1DC2Bo_D28_M5","DC1DC2Bo_D28_M1","DefCom2_141","DefCom2_157","DC1DC2Bo_D28_M4","DefCom2_124","DC1DC2Bo_D28_M6","DefCom2_131","GNCD_126","D28_06","DefCom2_161","GNCD_124","D28_20","D28_08","D28_09","D28_05","D28_21","D28_15","D28_04","D28_14","D28_12","D28_23","D28_19","D28_02","D28_16","D28_22","D28_07","D28_10","D28_03","GNCD_116","D28_01","D28_17","D28_13","D28_18","D28_11","GNCD_125"
"k__Bacteria",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"k__Bacteria|p__Bacteroidetes",52.52668,55.25334,52.79878,51.69595,60.76737,54.35429,54.20158,53.77981,56.39394,54.51307,56.2272,54.79267,52.81543,46.38319,57.03143,47.9921,51.97202,55.50096,35.06609,58.90796,46.55955,50.95448,48.67198,48.39648,55.91725,49.47242,53.07014,51.04864,52.93559,53.92938,53.47074,52.9789,54.09918,55.09392,56.86925,52.53195,56.49901,50.12392,54.68078,54.16766,51.79524,51.64172,53.22745,52.53367,55.07823,41.92861,52.98081,54.57268,52.77669,55.13811,53.74365,53.03348,52.45699,49.78934,52.26067,55.9466,52.81436,53.65626,52.98949,52.88079,55.22827,52.92219,57.43475,56.20475,56.49457,52.96941,54.23463,56.20568,56.34731,54.2671,8.38669,48.47823,50.35694,54.09701,57.84743,52.58708,51.74638,51.74808,57.36762,54.41928,52.8971,58.11578,51.68547,50.90817,56.26022,51.77591,57.29149,56.06721,56.37958,50.97862,54.83655,52.68942,51.4113,55.03212,55.01643,53.47514,53.01781,53.54678
"k__Bacteria|p__Firmicutes",36.1455,35.55312,42.63052,42.14811,34.20278,36.54808,33.62883,37.12184,36.25705,39.22051,38.67051,40.51313,41.8091,47.57343,33.1719,43.72382,41.8318,36.84318,55.01985,38.49701,46.0626,43.13408,43.54283,39.2552,35.48234,38.36901,41.62254,39.22344,42.67925,34.44141,39.78522,37.54729,39.34682,36.70597,31.89931,38.57526,37.93161,39.33932,36.30595,35.57042,36.76131,39.57222,41.73937,38.62519,40.40643,42.18933,39.17558,37.91681,42.64494,39.30664,38.07352,34.75299,42.29226,44.82798,36.80579,35.12119,33.88414,37.8967,33.44223,38.18312,35.1335,39.92183,38.07517,40.67693,34.65654,34.31143,41.35036,34.98354,39.584,38.65647,53.07879,39.96177,38.32158,38.05593,32.88373,38.30856,40.22072,37.94985,34.08404,35.99497,38.78816,33.86941,37.33662,37.23044,36.95522,40.06603,35.85326,36.15435,36.84249,38.77228,37.87967,39.54001,40.73218,36.58931,34.90935,35.82518,38.421,38.03001
"k__Bacteria|p__Verrucomicrobia",10.53386,8.46212,4.15648,5.2909,4.25439,8.21259,11.03548,8.20476,6.89196,5.62,4.76778,4.06208,4.77755,4.98506,8.4063,6.33541,5.51154,6.75662,8.26953,2.20498,6.19067,5.13424,6.11288,11.76595,7.76659,10.97008,4.68859,9.05185,4.04146,10.64876,5.76733,8.46208,5.56809,7.10167,10.15783,8.07112,4.78368,9.86443,7.58657,9.15506,10.38007,8.0269,4.25204,7.7921,3.98479,14.61258,6.70141,6.60948,3.99631,4.82156,7.28325,11.09704,4.52793,4.61721,9.89444,7.74774,12.42513,7.4439,12.54636,8.22547,8.14771,6.00179,3.92634,2.36078,7.95475,11.48091,3.61671,7.74509,3.42174,6.10144,35.55078,10.19805,10.37495,6.8496,8.12775,7.99253,7.01024,9.29656,7.41735,8.59311,7.4127,6.94658,10.09598,10.57204,5.69155,7.24882,5.788,6.65775,5.80555,9.05597,6.54286,6.60985,6.90266,7.12129,8.8629,9.80627,7.48418,7.58093
"k__Bacteria|p__Actinobacteria",0.33541,0.29626,0.18879,0.42131,0.14835,0.29116,0.15242,0.44938,0.2614,0.34011,0.18685,0.29326,0.21142,0.5254,0.2936,0.524,0.45856,0.20594,1.18534,0.2745,0.9083,0.43599,0.37218,0.20671,0.25436,0.43174,0.35534,0.24862,0.19364,0.17194,0.24987,0.26263,0.20162,0.1848,0.22487,0.34174,0.45437,0.25866,0.29746,0.17822,0.2719,0.21454,0.27655,0.23097,0.26249,1.19269,0.15878,0.21802,0.32467,0.19936,0.18526,0.1543,0.40742,0.30715,0.23191,0.23803,0.24193,0.16619,0.29195,0.22586,0.26635,0.25221,0.34194,0.40701,0.2665,0.25401,0.36174,0.23158,0.32608,0.19635,2.12717,0.85388,0.46758,0.46022,0.32105,0.78145,0.71702,0.62604,0.25592,0.28233,0.53836,0.30916,0.56954,0.31116,0.25379,0.55364,0.20928,0.24872,0.68321,0.75075,0.45842,0.61813,0.65746,0.31953,0.31738,0.29329,0.66912,0.41249
"k__Bacteria|p__Proteobacteria",0.45856,0.43516,0.22543,0.44373,0.62711,0.59388,0.98169,0.44421,0.19565,0.30631,0.14766,0.33886,0.3865,0.53292,1.09677,1.42468,0.22607,0.69329,0.45919,0.11555,0.27888,0.34121,1.30013,0.37566,0.57947,0.75676,0.26339,0.42744,0.15006,0.80851,0.72683,0.74909,0.78429,0.91365,0.84874,0.47993,0.33132,0.41367,1.12925,0.92864,0.79147,0.54462,0.5046,0.81806,0.26807,0.07679,0.98342,0.68301,0.25739,0.53433,0.71432,0.96219,0.3154,0.45832,0.80718,0.94644,0.63445,0.83696,0.72997,0.48476,1.22417,0.90197,0.22179,0.35054,0.62763,0.98424,0.43656,0.8341,0.32088,0.77864,0.85657,0.50808,0.47896,0.53723,0.82004,0.33039,0.30564,0.37947,0.87506,0.71031,0.36368,0.75907,0.31239,0.97818,0.83922,0.35561,0.85796,0.87197,0.28917,0.44238,0.2825,0.54259,0.2964,0.93775,0.89394,0.60013,0.4079,0.42979
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia",52.52668,55.25334,52.79878,51.69595,60.76737,54.35429,54.20158,53.77981,56.39394,54.51307,56.2272,54.79267,52.81543,46.38319,57.03143,47.9921,51.97202,55.50096,35.06609,58.90796,46.55955,50.95448,48.67198,48.39648,55.91725,49.47242,53.07014,51.04864,52.93559,53.92938,53.47074,52.9789,54.09918,55.09392,56.86925,52.53195,56.49901,50.12392,54.68078,54.16766,51.79524,51.64172,53.22745,52.53367,55.07823,41.92861,52.98081,54.57268,52.77669,55.13811,53.74365,53.03348,52.45699,49.78934,52.26067,55.9466,52.81436,53.65626,52.98949,52.88079,55.22827,52.92219,57.43475,56.20475,56.49457,52.96941,54.23463,56.20568,56.34731,54.2671,8.38669,48.47823,50.35694,54.09701,57.84743,52.58708,51.74638,51.74808,57.36762,54.41928,52.8971,58.11578,51.68547,50.90817,56.26022,51.77591,57.29149,56.06721,56.37958,50.97862,54.83655,52.68942,51.4113,55.03212,55.01643,53.47514,53.01781,53.54678
"k__Bacteria|p__Firmicutes|c__Clostridia",32.25725,31.56985,39.37307,38.13291,29.01998,33.10432,29.32931,32.78096,32.8251,35.75589,34.98452,36.45423,37.8941,44.83166,28.45561,40.66923,38.16819,30.65917,48.88573,32.27905,42.91608,39.48852,40.77131,34.13566,30.12603,35.46313,37.54476,33.98866,39.60463,30.48571,34.99666,33.40635,34.50063,32.64995,27.36532,34.18332,31.71576,35.93404,32.3803,31.90449,32.26821,34.97014,37.91664,34.80745,36.95949,37.31126,35.31043,33.45508,38.12768,34.45767,32.94475,29.64446,37.45711,41.9387,31.29163,31.27315,29.72996,35.30989,29.5661,33.42483,31.22437,35.51956,33.56538,35.78226,30.58631,30.12984,36.87519,31.6744,34.43244,33.87571,47.46613,34.92684,33.79235,33.40314,29.08003,33.20681,35.35852,33.09354,30.09724,29.46588,33.45676,28.46976,33.07313,32.05046,31.49378,34.30491,30.8794,30.73579,32.45518,33.2974,32.86232,35.82593,35.87471,31.59578,29.99412,31.46894,33.86842,34.08808
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae",10.53386,8.46212,4.15648,5.2909,4.25439,8.21259,11.03548,8.20476,6.89196,5.62,4.76778,4.06208,4.77755,4.98506,8.4063,6.33541,5.51154,6.75662,8.26953,2.20498,6.19067,5.13424,6.11288,11.76595,7.76659,10.97008,4.68859,9.05185,4.04146,10.64876,5.76733,8.46208,5.56809,7.10167,10.15783,8.07112,4.78368,9.86443,7.58657,9.15506,10.38007,8.0269,4.25204,7.7921,3.98479,14.61258,6.70141,6.60948,3.99631,4.82156,7.28325,11.09704,4.52793,4.61721,9.89444,7.74774,12.42513,7.4439,12.54636,8.22547,8.14771,6.00179,3.92634,2.36078,7.95475,11.48091,3.61671,7.74509,3.42174,6.10144,35.55078,10.19805,10.37495,6.8496,8.12775,7.99253,7.01024,9.29656,7.41735,8.59311,7.4127,6.94658,10.09598,10.57204,5.69155,7.24882,5.788,6.65775,5.80555,9.05597,6.54286,6.60985,6.90266,7.12129,8.8629,9.80627,7.48418,7.58093
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia",3.88825,3.98327,3.25745,4.0152,5.12206,3.44375,4.29952,4.34088,3.43195,3.46462,3.68599,4.0589,3.91499,2.74177,3.32128,2.59857,3.66361,5.84682,6.12193,6.21796,3.14651,3.64556,2.61651,4.94478,5.22157,2.72282,4.07778,5.21518,3.07462,3.94092,4.77227,4.10299,4.83019,3.6154,4.49902,4.34336,6.21585,3.35148,3.88288,3.62995,4.11704,4.31207,3.82272,3.59823,3.44695,4.83009,3.82329,4.44451,4.51726,4.83589,5.0168,4.27286,4.83514,2.88928,5.48315,3.62547,3.60489,2.52101,3.539,4.51342,3.846,4.39329,4.50979,4.89467,3.95507,3.64986,4.47517,3.27935,5.15155,4.76111,5.61266,5.03493,4.46377,4.65279,3.76163,5.10174,4.8622,4.85631,3.94512,6.48333,5.3314,5.36452,4.26348,4.41565,5.45645,5.76112,4.96383,4.96642,4.38731,5.47488,5.01735,3.71408,4.85747,4.96823,4.86828,4.33376,4.55258,3.94193
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia",0.31298,0.28697,0.18879,0.39455,0.14835,0.26926,0.15242,0.40199,0.24803,0.314,0.18685,0.28693,0.20437,0.488,0.24738,0.41958,0.39916,0.17831,0.94823,0.25983,0.82782,0.42406,0.32759,0.18625,0.22955,0.36836,0.33268,0.22772,0.17202,0.17194,0.23966,0.25249,0.20162,0.16784,0.21164,0.29971,0.40093,0.25305,0.28301,0.16227,0.24352,0.20819,0.23493,0.21219,0.23327,1.04937,0.15878,0.20539,0.30349,0.18974,0.18526,0.12858,0.36253,0.26765,0.20726,0.19749,0.19723,0.15323,0.26143,0.19733,0.24655,0.23081,0.28107,0.36048,0.25619,0.22434,0.28872,0.21782,0.2701,0.19024,1.70218,0.69495,0.40057,0.3814,0.29443,0.68027,0.63151,0.53658,0.21448,0.24916,0.41633,0.27595,0.4877,0.2721,0.22499,0.47956,0.1892,0.21172,0.57508,0.55591,0.41936,0.52377,0.55764,0.26327,0.27927,0.24799,0.53844,0.34189
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria",0.45856,0.43516,0.22543,0.44373,0.07608,0.59388,0.069,0.44421,0.19565,0.30631,0.14766,0.33886,0.3865,0.53292,1.09677,1.42468,0.22607,0.11629,0.45919,0.11555,0.27888,0.34121,1.30013,0,0.05911,0.75676,0.26339,0,0.15006,0.0423,0,0.08188,0.10476,0.27006,0.03,0.059,0.33132,0,0.15095,0.04438,0.08617,0.00664,0.5046,0.02501,0.26807,0.00607,0.05721,0.02254,0.25739,0.04401,0.02306,0.10003,0.3154,0.45832,0.00802,0.15033,0.02589,0,0.02695,0,0.10078,0.07724,0.22179,0.35054,0.02039,0.06866,0.43656,0.05167,0.32088,0.07596,0.85657,0.50808,0.02562,0.53723,0.0766,0.33039,0.30564,0.37947,0.09751,0,0.36368,0.00494,0.31239,0.13885,0.06817,0.35561,0.09029,0.13783,0.28917,0.44238,0.2825,0.54259,0.2964,0.08124,0.05005,0.04834,0.4079,0.42979
"k__Bacteria|p__Actinobacteria|c__Actinobacteria",0.02243,0.00929,0,0.02676,0,0.02189,0,0.04739,0.01337,0.02611,0,0.00633,0.00705,0.0374,0.04622,0.10442,0.05941,0.02764,0.23711,0.01467,0.08049,0.01193,0.04459,0.02046,0.0248,0.06338,0.02266,0.02091,0.02162,0,0.01021,0.01014,0,0.01696,0.01323,0.04203,0.05345,0.00561,0.01444,0.01594,0.02839,0.00635,0.04162,0.01878,0.02921,0.14331,0,0.01262,0.02118,0.00963,0,0.02572,0.04489,0.0395,0.02465,0.04053,0.0447,0.01296,0.03052,0.02853,0.0198,0.0214,0.06087,0.04653,0.01031,0.02967,0.07302,0.01376,0.05598,0.00611,0.425,0.15893,0.06701,0.07883,0.02662,0.10118,0.08551,0.08946,0.04144,0.03318,0.12203,0.03321,0.08184,0.03907,0.0288,0.07409,0.02008,0.037,0.10813,0.19484,0.03906,0.09437,0.09983,0.05627,0.03811,0.04531,0.13068,0.0706
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales",52.52668,55.25334,52.79878,51.69595,60.76737,54.35429,54.20158,53.77981,56.39394,54.51307,56.2272,54.79267,52.81543,46.38319,57.03143,47.9921,51.97202,55.50096,35.06609,58.90796,46.55955,50.95448,48.67198,48.39648,55.91725,49.47242,53.07014,51.04864,52.93559,53.92938,53.47074,52.9789,54.09918,55.09392,56.86925,52.53195,56.49901,50.12392,54.68078,54.16766,51.79524,51.64172,53.22745,52.53367,55.07823,41.92861,52.98081,54.57268,52.77669,55.13811,53.74365,53.03348,52.45699,49.78934,52.26067,55.9466,52.81436,53.65626,52.98949,52.88079,55.22827,52.92219,57.43475,56.20475,56.49457,52.96941,54.23463,56.20568,56.34731,54.2671,8.38669,48.47823,50.35694,54.09701,57.84743,52.58708,51.74638,51.74808,57.36762,54.41928,52.8971,58.11578,51.68547,50.90817,56.26022,51.77591,57.29149,56.06721,56.37958,50.97862,54.83655,52.68942,51.4113,55.03212,55.01643,53.47514,53.01781,53.54678
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales",32.25725,31.56985,39.37307,38.13291,29.01998,33.10432,29.32931,32.78096,32.8251,35.75589,34.98452,36.45423,37.8941,44.83166,28.45561,40.66923,38.16819,30.65917,48.88573,32.27905,42.91608,39.48852,40.77131,34.13566,30.12603,35.46313,37.54476,33.98866,39.60463,30.48571,34.99666,33.40635,34.50063,32.64995,27.36532,34.18332,31.71576,35.93404,32.3803,31.90449,32.26821,34.97014,37.91664,34.80745,36.95949,37.31126,35.31043,33.45508,38.12768,34.45767,32.94475,29.64446,37.45711,41.9387,31.29163,31.27315,29.72996,35.30989,29.5661,33.42483,31.22437,35.51956,33.56538,35.78226,30.58631,30.12984,36.87519,31.6744,34.43244,33.87571,47.46613,34.92684,33.79235,33.40314,29.08003,33.20681,35.35852,33.09354,30.09724,29.46588,33.45676,28.46976,33.07313,32.05046,31.49378,34.30491,30.8794,30.73579,32.45518,33.2974,32.86232,35.82593,35.87471,31.59578,29.99412,31.46894,33.86842,34.08808
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales",10.53386,8.46212,4.15648,5.2909,4.25439,8.21259,11.03548,8.20476,6.89196,5.62,4.76778,4.06208,4.77755,4.98506,8.4063,6.33541,5.51154,6.75662,8.26953,2.20498,6.19067,5.13424,6.11288,11.76595,7.76659,10.97008,4.68859,9.05185,4.04146,10.64876,5.76733,8.46208,5.56809,7.10167,10.15783,8.07112,4.78368,9.86443,7.58657,9.15506,10.38007,8.0269,4.25204,7.7921,3.98479,14.61258,6.70141,6.60948,3.99631,4.82156,7.28325,11.09704,4.52793,4.61721,9.89444,7.74774,12.42513,7.4439,12.54636,8.22547,8.14771,6.00179,3.92634,2.36078,7.95475,11.48091,3.61671,7.74509,3.42174,6.10144,35.55078,10.19805,10.37495,6.8496,8.12775,7.99253,7.01024,9.29656,7.41735,8.59311,7.4127,6.94658,10.09598,10.57204,5.69155,7.24882,5.788,6.65775,5.80555,9.05597,6.54286,6.60985,6.90266,7.12129,8.8629,9.80627,7.48418,7.58093
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales",3.88825,3.98327,3.25745,4.0152,5.12206,3.44375,4.29952,4.34088,3.43195,3.46462,3.68599,4.0589,3.91499,2.74177,3.32128,2.59857,3.66361,5.84682,6.12193,6.21796,3.14651,3.64556,2.61651,4.94478,5.22157,2.72282,4.07778,5.21518,3.07462,3.94092,4.77227,4.10299,4.83019,3.6154,4.49902,4.34336,6.21585,3.35148,3.88288,3.62995,4.11704,4.31207,3.82272,3.59823,3.44695,4.83009,3.82329,4.44451,4.51726,4.83589,5.0168,4.27286,4.83514,2.88928,5.48315,3.62547,3.60489,2.52101,3.539,4.51342,3.846,4.39329,4.50979,4.89467,3.95507,3.64986,4.47517,3.27935,5.15155,4.76111,5.61266,5.03493,4.46377,4.65279,3.76163,5.10174,4.8622,4.85631,3.94512,6.48333,5.3314,5.36452,4.26348,4.41565,5.45645,5.76112,4.96383,4.96642,4.38731,5.47488,5.01735,3.71408,4.85747,4.96823,4.86828,4.33376,4.55258,3.94193
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales",0.16203,0.10974,0.1292,0.19254,0.14835,0.14116,0.15242,0.2339,0.13914,0.16542,0.11667,0.14162,0.10438,0.24909,0.13546,0.21988,0.22006,0.17831,0.69908,0.18012,0.52385,0.27031,0.17367,0.18625,0.22955,0.21872,0.15979,0.22772,0.12404,0.17194,0.23966,0.25249,0.20162,0.16784,0.21164,0.29971,0.26308,0.25305,0.28301,0.16227,0.24352,0.20819,0.1269,0.21219,0.11475,1.04937,0.15878,0.20539,0.1642,0.18974,0.18526,0.12858,0.19039,0.146,0.20726,0.19749,0.19723,0.15323,0.26143,0.19733,0.24655,0.23081,0.19652,0.24755,0.25619,0.22434,0.19344,0.21782,0.18766,0.19024,0.79946,0.35958,0.40057,0.20296,0.29443,0.31144,0.32956,0.28535,0.21448,0.24916,0.20989,0.27595,0.26911,0.2721,0.22499,0.27442,0.1892,0.21172,0.28233,0.31122,0.21448,0.28297,0.32086,0.26327,0.27927,0.24799,0.28462,0.18395
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales",0.45856,0.43516,0.22543,0.44373,0.07608,0.59388,0.069,0.44421,0.19565,0.30631,0.14766,0.33886,0.3865,0.53292,1.09677,1.42468,0.22607,0.11629,0.45919,0.11555,0.27888,0.34121,1.30013,0,0.05911,0.75676,0.26339,0,0.15006,0.0423,0,0.08188,0.10476,0.27006,0.03,0.059,0.33132,0,0.15095,0.04438,0.08617,0.00664,0.5046,0.02501,0.26807,0.00607,0.05721,0.02254,0.25739,0.04401,0.02306,0.10003,0.3154,0.45832,0.00802,0.15033,0.02589,0,0.02695,0,0.10078,0.07724,0.22179,0.35054,0.02039,0.06866,0.43656,0.05167,0.32088,0.07596,0.85657,0.50808,0.02562,0.53723,0.0766,0.33039,0.30564,0.37947,0.09751,0,0.36368,0.00494,0.31239,0.13885,0.06817,0.35561,0.09029,0.13783,0.28917,0.44238,0.2825,0.54259,0.2964,0.08124,0.05005,0.04834,0.4079,0.42979
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales",0.15095,0.17723,0.05959,0.20201,0,0.1281,0,0.1681,0.10889,0.14858,0.07018,0.14532,0.09999,0.23891,0.11193,0.1997,0.1791,0,0.24915,0.07971,0.30397,0.15375,0.15392,0,0,0.14964,0.17289,0,0.04798,0,0,0,0,0,0,0,0.13784,0,0,0,0,0,0.10803,0,0.11852,0,0,0,0.13929,0,0,0,0.17214,0.12165,0,0,0,0,0,0,0,0,0.08455,0.11293,0,0,0.09528,0,0.08244,0,0.90272,0.33537,0,0.17844,0,0.36883,0.30195,0.25123,0,0,0.20644,0,0.2186,0,0,0.20514,0,0,0.29275,0.24468,0.20489,0.24079,0.23678,0,0,0,0.25381,0.15793
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales",0.02243,0.00929,0,0.02676,0,0.02189,0,0.04739,0.01337,0.02611,0,0.00633,0.00705,0.0374,0.04622,0.10442,0.05941,0.02764,0.23711,0.01467,0.08049,0.01193,0.04459,0.02046,0.0248,0.06338,0.02266,0.02091,0.02162,0,0.01021,0.01014,0,0.01696,0.01323,0.04203,0.05345,0.00561,0.01444,0.01594,0.02839,0.00635,0.04162,0.01878,0.02921,0.14331,0,0.01262,0.02118,0.00963,0,0.02572,0.04489,0.0395,0.02465,0.04053,0.0447,0.01296,0.03052,0.02853,0.0198,0.0214,0.06087,0.04653,0.01031,0.02967,0.07302,0.01376,0.05598,0.00611,0.425,0.15893,0.06701,0.07883,0.02662,0.10118,0.08551,0.08946,0.04144,0.03318,0.12203,0.03321,0.08184,0.03907,0.0288,0.07409,0.02008,0.037,0.10813,0.19484,0.03906,0.09437,0.09983,0.05627,0.03811,0.04531,0.13068,0.0706
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae",43.8212,44.98113,40.66235,39.00185,45.89388,42.3222,38.83129,42.56796,41.11197,44.99864,43.83855,44.28822,40.62738,39.26071,45.53584,38.52981,42.28781,40.86702,31.0593,47.15609,38.67503,40.89806,38.76267,37.81423,42.15826,39.7026,42.68055,37.94394,43.50812,41.87294,39.37659,41.57126,39.29212,40.49922,42.87295,40.89466,44.43362,34.77745,42.35843,40.1554,37.95054,37.64508,40.70123,36.00189,41.06207,31.48808,35.97372,38.80461,42.56791,39.24229,39.68336,39.25298,39.58881,39.95876,40.26484,41.45754,42.05839,37.7607,39.36306,39.59895,40.91681,37.48181,43.89632,43.57259,41.83469,40.61279,42.71181,43.02887,42.69876,39.18208,7.28459,36.90813,37.92164,42.40488,43.89165,41.73672,41.24505,40.0329,46.27456,40.48904,41.8091,42.84659,39.24703,36.78194,40.9963,40.94138,43.3268,42.50757,45.97756,39.06356,43.61012,41.46463,39.64951,42.7873,40.59142,39.04875,37.79357,40.65225
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae",28.77002,28.12649,35.25619,34.274,24.06867,29.87508,25.4856,29.22925,29.45824,32.36035,32.00289,32.7054,34.41967,39.4006,25.37035,36.19788,34.18036,26.42445,39.51672,29.3201,37.02691,35.4883,36.4152,30.82406,26.58679,31.16137,33.83157,29.90869,36.66428,27.17314,31.55055,29.12449,29.87711,27.51469,23.68687,29.72813,28.04801,31.79974,27.27208,27.45058,27.96586,30.72538,34.42477,30.52926,33.76171,30.44588,31.19011,28.7422,34.54521,29.97632,29.46559,26.79081,33.89948,38.32316,27.29308,25.86943,26.32618,31.64787,25.41492,30.06876,27.84248,29.97931,30.38482,32.12959,26.88661,26.83517,33.25731,27.68864,31.27118,28.81353,40.31248,29.96714,29.40408,30.0708,24.33079,28.91164,30.43109,28.61288,26.04842,25.33569,29.70748,24.05981,28.83634,25.76303,27.37781,30.1979,26.5113,26.18632,28.47081,28.70491,29.36105,31.8385,31.26167,26.96025,25.6333,26.93183,29.18685,30.34398
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified",7.6046,9.34008,11.69397,11.90916,12.16654,11.17502,10.14004,10.29899,14.38321,8.7488,11.67216,9.93936,11.65371,6.09918,10.77692,8.66177,8.80224,10.40597,3.3444,11.51722,6.78744,9.13528,9.17519,7.19557,8.92743,8.85117,10.00233,7.73478,8.85191,7.61067,8.9221,6.83221,10.1496,11.75942,9.37778,7.21297,11.52739,10.18867,9.37947,9.35036,9.8703,9.88977,12.02117,11.12817,13.49738,6.40505,10.83175,11.03507,9.5139,10.82365,9.41469,9.51268,12.18011,9.18983,7.36578,10.98408,7.13774,10.24556,9.19279,9.36626,10.47151,10.34072,13.18479,12.18945,10.04747,8.09195,11.12967,8.79159,13.39738,10.64365,0.9881,10.71558,7.631,11.09337,8.86951,9.88176,9.64418,11.04696,6.66057,8.67991,10.50773,9.46632,11.74157,9.84711,9.65329,10.08459,9.05925,9.81869,9.5437,11.21835,10.29173,10.42208,10.97828,8.05198,9.40628,10.98747,14.42463,12.4384
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae",10.53386,8.46212,4.15648,5.2909,4.25439,8.21259,11.03548,8.20476,6.89196,5.62,4.76778,4.06208,4.77755,4.98506,8.4063,6.33541,5.51154,6.75662,8.26953,2.20498,6.19067,5.13424,6.11288,11.76595,7.76659,10.97008,4.68859,9.05185,4.04146,10.64876,5.76733,8.46208,5.56809,7.10167,10.15783,8.07112,4.78368,9.86443,7.58657,9.15506,10.38007,8.0269,4.25204,7.7921,3.98479,14.61258,6.70141,6.60948,3.99631,4.82156,7.28325,11.09704,4.52793,4.61721,9.89444,7.74774,12.42513,7.4439,12.54636,8.22547,8.14771,6.00179,3.92634,2.36078,7.95475,11.48091,3.61671,7.74509,3.42174,6.10144,35.55078,10.19805,10.37495,6.8496,8.12775,7.99253,7.01024,9.29656,7.41735,8.59311,7.4127,6.94658,10.09598,10.57204,5.69155,7.24882,5.788,6.65775,5.80555,9.05597,6.54286,6.60985,6.90266,7.12129,8.8629,9.80627,7.48418,7.58093
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae",3.88825,3.98327,3.25745,4.0152,5.12206,3.44375,4.29952,4.34088,3.43195,3.46462,3.68599,4.0589,3.91499,2.74177,3.32128,2.59857,3.66361,5.84682,6.12193,6.21796,3.14651,3.64556,2.61651,4.94478,5.22157,2.72282,4.07778,5.21518,3.07462,3.94092,4.77227,4.10299,4.83019,3.6154,4.49902,4.34336,6.21585,3.35148,3.88288,3.62995,4.11704,4.31207,3.82272,3.59823,3.44695,4.83009,3.82329,4.44451,4.51726,4.83589,5.0168,4.27286,4.83514,2.88928,5.48315,3.62547,3.60489,2.52101,3.539,4.51342,3.846,4.39329,4.50979,4.89467,3.95507,3.64986,4.47517,3.27935,5.15155,4.76111,5.61266,5.03493,4.46377,4.65279,3.76163,5.10174,4.8622,4.85631,3.94512,6.48333,5.3314,5.36452,4.26348,4.41565,5.45645,5.76112,4.96383,4.96642,4.38731,5.47488,5.01735,3.71408,4.85747,4.96823,4.86828,4.33376,4.55258,3.94193
